Citizenship,Year,Region,Month,Value0
Germany,2013,East,July,17836
Germany,2013,East,August,13566
Germany,2013,East,September,2329
Germany,2013,East,October,488
Germany,2013,East,November,164
Germany,2013,East,December,202
Germany,2013,South,Total,61815
Germany,2013,South,January,325
Germany,2013,South,February,1210
Germany,2013,South,March,955
Germany,2013,South,April,1099
Germany,2013,South,May,3190
Germany,2013,South,June,11527
Germany,2013,South,July,21883
Germany,2013,South,August,15225
Germany,2013,South,September,3886
Germany,2013,South,October,1490
Germany,2013,South,November,616
Germany,2013,South,December,409
Netherlands,2014,Total,Total,88060
Netherlands,2014,Total,January,2164
Netherlands,2014,Total,February,4471
Netherlands,2014,Total,March,4238
Netherlands,2014,Total,April,3832
Netherlands,2014,Total,May,7160
Netherlands,2014,Total,June,14017
Netherlands,2014,Total,July,19476
Netherlands,2014,Total,August,15705
Netherlands,2014,Total,September,6626
Netherlands,2014,Total,October,4501
Netherlands,2014,Total,November,2955
Netherlands,2014,Total,December,2915
Netherlands,2014,Capital region,Total,35593
Netherlands,2014,Capital region,January,1692
Netherlands,2014,Capital region,February,2937
Netherlands,2014,Capital region,March,2528
Netherlands,2014,Capital region,April,2460
Netherlands,2014,Capital region,May,3139
Netherlands,2014,Capital region,June,4179
Netherlands,2014,Capital region,July,4682
Netherlands,2014,Capital region,August,4239
Netherlands,2014,Capital region,September,2599
Netherlands,2014,Capital region,October,2806
Netherlands,2014,Capital region,November,2181
Netherlands,2014,Capital region,December,2151
Netherlands,2014,"West, Westfjords and Southwest from 2007",Total,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",January,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",February,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",March,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",April,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",May,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",June,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",July,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",August,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",September,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",October,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",November,..
Netherlands,2014,"West, Westfjords and Southwest from 2007",December,..
Netherlands,2014,Southwest,Total,5324
Netherlands,2014,Southwest,January,106
Netherlands,2014,Southwest,February,234
Netherlands,2014,Southwest,March,236
Netherlands,2014,Southwest,April,234
Netherlands,2014,Southwest,May,398
Netherlands,2014,Southwest,June,773
Netherlands,2014,Southwest,July,1256
Netherlands,2014,Southwest,August,1088
Netherlands,2014,Southwest,September,403
Netherlands,2014,Southwest,October,321
Netherlands,2014,Southwest,November,145
Netherlands,2014,Southwest,December,130
Netherlands,2014,"West, Westfjords from 2007",Total,8063
Netherlands,2014,"West, Westfjords from 2007",January,85
Netherlands,2014,"West, Westfjords from 2007",February,288
Netherlands,2014,"West, Westfjords from 2007",March,394
Netherlands,2014,"West, Westfjords from 2007",April,125
Netherlands,2014,"West, Westfjords from 2007",May,655
Netherlands,2014,"West, Westfjords from 2007",June,1525
Netherlands,2014,"West, Westfjords from 2007",July,2283
Netherlands,2014,"West, Westfjords from 2007",August,1627
Netherlands,2014,"West, Westfjords from 2007",September,658
Netherlands,2014,"West, Westfjords from 2007",October,289
Netherlands,2014,"West, Westfjords from 2007",November,77
Netherlands,2014,"West, Westfjords from 2007",December,57
Netherlands,2014,North,Total,12415
Netherlands,2014,North,January,60
Netherlands,2014,North,February,178
Netherlands,2014,North,March,152
Netherlands,2014,North,April,213
Netherlands,2014,North,May,950
Netherlands,2014,North,June,2578
Netherlands,2014,North,July,3781
Netherlands,2014,North,August,2972
Netherlands,2014,North,September,985
Netherlands,2014,North,October,293
Netherlands,2014,North,November,101
Netherlands,2014,North,December,152
Netherlands,2014,East,Total,10836
Netherlands,2014,East,January,53
Netherlands,2014,East,February,143
Netherlands,2014,East,March,245
Netherlands,2014,East,April,231
Netherlands,2014,East,May,909
Netherlands,2014,East,June,2558
Netherlands,2014,East,July,3316
Netherlands,2014,East,August,2386
Netherlands,2014,East,September,672
Netherlands,2014,East,October,212
Netherlands,2014,East,November,68
Netherlands,2014,East,December,43
Netherlands,2014,South,Total,15829
Netherlands,2014,South,January,168
Netherlands,2014,South,February,691
Netherlands,2014,South,March,683
Netherlands,2014,South,April,569
Netherlands,2014,South,May,1109
Netherlands,2014,South,June,2404
Netherlands,2014,South,July,4158
Netherlands,2014,South,August,3393
Netherlands,2014,South,September,1309
Netherlands,2014,South,October,580
Netherlands,2014,South,November,383
Netherlands,2014,South,December,382
Netherlands,2013,Total,Total,88676
Netherlands,2013,Total,January,1814
Netherlands,2013,Total,February,4659
Netherlands,2013,Total,March,4863
Netherlands,2013,Total,April,3687
Netherlands,2013,Total,May,6612
Netherlands,2013,Total,June,14138
Netherlands,2013,Total,July,22056
Netherlands,2013,Total,August,15781
Netherlands,2013,Total,September,6208
Netherlands,2013,Total,October,3655
Netherlands,2013,Total,November,2730
Netherlands,2013,Total,December,2473
Netherlands,2013,Capital region,Total,35576
Netherlands,2013,Capital region,January,1492
Netherlands,2013,Capital region,February,3074
Netherlands,2013,Capital region,March,3238
Netherlands,2013,Capital region,April,2430
Netherlands,2013,Capital region,May,2519
Netherlands,2013,Capital region,June,4206
Netherlands,2013,Capital region,July,4980
Netherlands,2013,Capital region,August,4902
Netherlands,2013,Capital region,September,2336
Netherlands,2013,Capital region,October,2319
Netherlands,2013,Capital region,November,2148
Netherlands,2013,Capital region,December,1932
Netherlands,2013,"West, Westfjords and Southwest from 2007",Total,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",January,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",February,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",March,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",April,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",May,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",June,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",July,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",August,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",September,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",October,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",November,..
Netherlands,2013,"West, Westfjords and Southwest from 2007",December,..
Netherlands,2013,Southwest,Total,3919
Netherlands,2013,Southwest,January,61
Netherlands,2013,Southwest,February,194
Netherlands,2013,Southwest,March,222
Netherlands,2013,Southwest,April,123
Netherlands,2013,Southwest,May,241
Netherlands,2013,Southwest,June,521
Netherlands,2013,Southwest,July,1037
Netherlands,2013,Southwest,August,720
Netherlands,2013,Southwest,September,376
Netherlands,2013,Southwest,October,243
Netherlands,2013,Southwest,November,111
Netherlands,2013,Southwest,December,70
Netherlands,2013,"West, Westfjords from 2007",Total,8606
Netherlands,2013,"West, Westfjords from 2007",January,25
Netherlands,2013,"West, Westfjords from 2007",February,275
Netherlands,2013,"West, Westfjords from 2007",March,190
Netherlands,2013,"West, Westfjords from 2007",April,181
Netherlands,2013,"West, Westfjords from 2007",May,680
Netherlands,2013,"West, Westfjords from 2007",June,1610
Netherlands,2013,"West, Westfjords from 2007",July,2845
Netherlands,2013,"West, Westfjords from 2007",August,1774
Netherlands,2013,"West, Westfjords from 2007",September,751
Netherlands,2013,"West, Westfjords from 2007",October,148
Netherlands,2013,"West, Westfjords from 2007",November,63
Netherlands,2013,"West, Westfjords from 2007",December,64
Netherlands,2013,North,Total,12783
Netherlands,2013,North,January,104
Netherlands,2013,North,February,209
Netherlands,2013,North,March,171
Netherlands,2013,North,April,99
Netherlands,2013,North,May,1237
Netherlands,2013,North,June,2568
Netherlands,2013,North,July,4442
Netherlands,2013,North,August,2685
Netherlands,2013,North,September,841
Netherlands,2013,North,October,252
Netherlands,2013,North,November,81
Netherlands,2013,North,December,94
Netherlands,2013,East,Total,10861
Netherlands,2013,East,January,37
Netherlands,2013,East,February,243
Netherlands,2013,East,March,235
Netherlands,2013,East,April,205
Netherlands,2013,East,May,951
Netherlands,2013,East,June,2582
Netherlands,2013,East,July,3155
Netherlands,2013,East,August,2335
Netherlands,2013,East,September,609
Netherlands,2013,East,October,257
Netherlands,2013,East,November,92
Netherlands,2013,East,December,160
Netherlands,2013,South,Total,16931
Netherlands,2013,South,January,95
Netherlands,2013,South,February,664
Netherlands,2013,South,March,807
Netherlands,2013,South,April,649
Netherlands,2013,South,May,984
Netherlands,2013,South,June,2651
Netherlands,2013,South,July,5597
Netherlands,2013,South,August,3365
Netherlands,2013,South,September,1295
Netherlands,2013,South,October,436
Netherlands,2013,South,November,235
Netherlands,2013,South,December,153
Belgium,2014,Total,Total,27161
Belgium,2014,Total,January,418
Belgium,2014,Total,February,1087
Belgium,2014,Total,March,1692
Belgium,2014,Total,April,740
Belgium,2014,Total,May,1816
Belgium,2014,Total,June,4326
Belgium,2014,Total,July,8155
Belgium,2014,Total,August,4877
Belgium,2014,Total,September,2156
Belgium,2014,Total,October,826
Belgium,2014,Total,November,557
Belgium,2014,Total,December,511
Belgium,2014,Capital region,Total,9651
Belgium,2014,Capital region,January,250
Belgium,2014,Capital region,February,741
Belgium,2014,Capital region,March,1267
Belgium,2014,Capital region,April,384
Belgium,2014,Capital region,May,1020
Belgium,2014,Capital region,June,1132
Belgium,2014,Capital region,July,1724
Belgium,2014,Capital region,August,1211
Belgium,2014,Capital region,September,736
Belgium,2014,Capital region,October,456
Belgium,2014,Capital region,November,402
Belgium,2014,Capital region,December,328
Belgium,2014,"West, Westfjords and Southwest from 2007",Total,..
Belgium,2014,"West, Westfjords and Southwest from 2007",January,..
Belgium,2014,"West, Westfjords and Southwest from 2007",February,..
Belgium,2014,"West, Westfjords and Southwest from 2007",March,..
Belgium,2014,"West, Westfjords and Southwest from 2007",April,..
Belgium,2014,"West, Westfjords and Southwest from 2007",May,..
Belgium,2014,"West, Westfjords and Southwest from 2007",June,..
Belgium,2014,"West, Westfjords and Southwest from 2007",July,..
Belgium,2014,"West, Westfjords and Southwest from 2007",August,..
Belgium,2014,"West, Westfjords and Southwest from 2007",September,..
Belgium,2014,"West, Westfjords and Southwest from 2007",October,..
Belgium,2014,"West, Westfjords and Southwest from 2007",November,..
Belgium,2014,"West, Westfjords and Southwest from 2007",December,..
Belgium,2014,Southwest,Total,1833
Belgium,2014,Southwest,January,54
Belgium,2014,Southwest,February,65
Belgium,2014,Southwest,March,54
Belgium,2014,Southwest,April,68
Belgium,2014,Southwest,May,114
Belgium,2014,Southwest,June,183
Belgium,2014,Southwest,July,513
Belgium,2014,Southwest,August,446
Belgium,2014,Southwest,September,155
Belgium,2014,Southwest,October,79
Belgium,2014,Southwest,November,45
Belgium,2014,Southwest,December,57
Belgium,2014,"West, Westfjords from 2007",Total,1811
Belgium,2014,"West, Westfjords from 2007",January,16
Belgium,2014,"West, Westfjords from 2007",February,53
Belgium,2014,"West, Westfjords from 2007",March,36
Belgium,2014,"West, Westfjords from 2007",April,36
Belgium,2014,"West, Westfjords from 2007",May,67
Belgium,2014,"West, Westfjords from 2007",June,475
Belgium,2014,"West, Westfjords from 2007",July,583
Belgium,2014,"West, Westfjords from 2007",August,365
Belgium,2014,"West, Westfjords from 2007",September,113
Belgium,2014,"West, Westfjords from 2007",October,37
Belgium,2014,"West, Westfjords from 2007",November,12
Belgium,2014,"West, Westfjords from 2007",December,18
Belgium,2014,North,Total,4649
Belgium,2014,North,January,30
Belgium,2014,North,February,13
Belgium,2014,North,March,27
Belgium,2014,North,April,68
Belgium,2014,North,May,216
Belgium,2014,North,June,917
Belgium,2014,North,July,1792
Belgium,2014,North,August,1040
Belgium,2014,North,September,407
Belgium,2014,North,October,118
Belgium,2014,North,November,13
Belgium,2014,North,December,8
Belgium,2014,East,Total,4058
Belgium,2014,East,January,6
Belgium,2014,East,February,17
Belgium,2014,East,March,87
Belgium,2014,East,April,59
Belgium,2014,East,May,185
Belgium,2014,East,June,790
Belgium,2014,East,July,1770
Belgium,2014,East,August,804
Belgium,2014,East,September,303
Belgium,2014,East,October,30
Belgium,2014,East,November,4
Belgium,2014,East,December,3
Belgium,2014,South,Total,5159
Belgium,2014,South,January,62
Belgium,2014,South,February,198
Belgium,2014,South,March,221
Belgium,2014,South,April,125
