Þjóðerni,Ár,Landsvæði,Mánuður,Value0
Danmörk,2014,Höfuðborgarsvæði,Mars,3240
Danmörk,2014,Höfuðborgarsvæði,Apríl,4958
Danmörk,2014,Höfuðborgarsvæði,Maí,7775
Danmörk,2014,Höfuðborgarsvæði,Júní,5575
Danmörk,2014,Höfuðborgarsvæði,Júlí,6137
Danmörk,2014,Höfuðborgarsvæði,Ágúst,4840
Danmörk,2014,Höfuðborgarsvæði,September,7272
Danmörk,2014,Höfuðborgarsvæði,Október,5852
Danmörk,2014,Höfuðborgarsvæði,Nóvember,4222
Danmörk,2014,Höfuðborgarsvæði,Desember,2314
Danmörk,2014,Suðurnes,Allir,3477
Danmörk,2014,Suðurnes,Janúar,123
Danmörk,2014,Suðurnes,Febrúar,250
Danmörk,2014,Suðurnes,Mars,187
Danmörk,2014,Suðurnes,Apríl,193
Danmörk,2014,Suðurnes,Maí,239
Danmörk,2014,Suðurnes,Júní,305
Danmörk,2014,Suðurnes,Júlí,709
Danmörk,2014,Suðurnes,Ágúst,580
Danmörk,2014,Suðurnes,September,298
Danmörk,2014,Suðurnes,Október,214
Danmörk,2014,Suðurnes,Nóvember,184
Danmörk,2014,Suðurnes,Desember,195
Danmörk,2014,"Vesturland, Vestfirðir",Allir,2246
Danmörk,2014,"Vesturland, Vestfirðir",Janúar,13
Danmörk,2014,"Vesturland, Vestfirðir",Febrúar,65
Danmörk,2014,"Vesturland, Vestfirðir",Mars,22
Danmörk,2014,"Vesturland, Vestfirðir",Apríl,94
Danmörk,2014,"Vesturland, Vestfirðir",Maí,259
Danmörk,2014,"Vesturland, Vestfirðir",Júní,414
Danmörk,2014,"Vesturland, Vestfirðir",Júlí,673
Danmörk,2014,"Vesturland, Vestfirðir",Ágúst,341
Danmörk,2014,"Vesturland, Vestfirðir",September,212
Danmörk,2014,"Vesturland, Vestfirðir",Október,82
Danmörk,2014,"Vesturland, Vestfirðir",Nóvember,54
Danmörk,2014,"Vesturland, Vestfirðir",Desember,17
Danmörk,2014,Norðurland,Allir,4845
Danmörk,2014,Norðurland,Janúar,23
Danmörk,2014,Norðurland,Febrúar,96
Danmörk,2014,Norðurland,Mars,151
Danmörk,2014,Norðurland,Apríl,367
Danmörk,2014,Norðurland,Maí,250
Danmörk,2014,Norðurland,Júní,679
Danmörk,2014,Norðurland,Júlí,1536
Danmörk,2014,Norðurland,Ágúst,973
Danmörk,2014,Norðurland,September,476
Danmörk,2014,Norðurland,Október,148
Danmörk,2014,Norðurland,Nóvember,88
Danmörk,2014,Norðurland,Desember,58
Danmörk,2014,Austurland,Allir,1370
Danmörk,2014,Austurland,Janúar,9
Danmörk,2014,Austurland,Febrúar,11
Danmörk,2014,Austurland,Mars,39
Danmörk,2014,Austurland,Apríl,28
Danmörk,2014,Austurland,Maí,89
Danmörk,2014,Austurland,Júní,196
Danmörk,2014,Austurland,Júlí,525
